QueryVars,ProjVars,JoinVars,LonelyNonResultVars,min_cardinality_of_var_in_TP,No.TPs,TP_sizes,QueryRuntime
"['c', 'l']","[0, 0]","[0, 1]","[0, 0]","[29, 65]",3,"[5, 91, 23]",4.955231198263118
"['w', 'p', 'd', 'h', 'b', 'k', 't', 'm', 'v', 'x', 'j', 'o', 'g', 'a', 'r', 'q', 'f', 'y', 'u', 'c', 'e', 'i', 'l', 'n', 's']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1]","[1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[77, 46, 7, 49, 42, 40, 20, 77, 17, 70, 62, 9, 82, 95, 2, 8, 94, 16, 72, 17, 40, 7, 72, 1, 30]",7,"[42, 47, 89, 96, 2, 27, 24]",5.710662338265126
"['i', 'j', 'u', 'h', 'k', 'e', 'c', 'm', 's', 'o', 'w', 'g', 'b', 'v', 'a', 'd', 'l', 'r', 'q']","[1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1]","[1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1]","[0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1]","[68, 33, 99, 43, 55, 43, 5, 47, 62, 58, 76, 32, 64, 69, 25, 72, 69, 84, 25]",3,"[77, 84, 53]",1.5055296141466756
"['s', 'n', 'p', 'l', 'm', 'f', 'c', 'y', 't', 'k', 'i', 'r', 'j', 'e']","[1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1]","[1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1]","[0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1]","[19, 67, 8, 19, 69, 99, 7, 53, 80, 13, 85, 13, 61, 23]",6,"[23, 49, 72, 17, 50, 96]",5.918999431757668
"['h', 'i', 'b', 'o', 'd', 'r', 'f', 'e', 'a', 'p', 'v', 'q', 'g', 's', 'n', 'l', 'x', 'y', 'c', 'm', 't', 'u', 'w', 'j', 'k']","[0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1]","[1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1]","[1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0]","[2, 61, 81, 94, 45, 22, 4, 9, 52, 5, 12, 99, 84, 50, 91, 59, 8, 81, 47, 68, 28, 17, 50, 40, 100]",4,"[44, 53, 81, 11]",9.087336452731346
"['k', 'c', 'g', 'x', 's', 'p', 'y', 'n', 'o', 'm', 'h', 'q', 't', 'v']","[1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0]","[1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1]","[1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1]","[53, 44, 27, 20, 64, 96, 2, 77, 83, 14, 70, 55, 97, 6]",7,"[40, 44, 38, 62, 50, 35, 6]",9.068400116441616
['d'],[1],[1],[0],[40],2,"[54, 80]",2.0743457083529937
"['d', 'p', 'w', 'u', 'x', 'a', 'q', 'm', 'r', 'v', 'i', 'o', 'h', 'y']","[1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0]","[0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1]","[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1]","[94, 49, 39, 64, 73, 80, 80, 11, 75, 6, 99, 4, 56, 4]",10,"[50, 75, 81, 20, 14, 49, 14, 21, 77, 63]",1.49237071107639
"['m', 'i', 'l', 'r', 'o', 'a', 'd', 'y', 'p', 'u', 'x', 's', 'e', 't', 'k', 'j', 'b', 'h', 'q', 'w', 'v', 'f']","[0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]","[1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1]","[0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1]","[38, 93, 55, 85, 94, 4, 61, 13, 95, 18, 61, 17, 91, 52, 2, 63, 30, 61, 97, 16, 75, 58]",1,[4],1.7346737786067836
"['n', 's', 'y', 'f', 'k', 'c', 'l', 'v', 'i', 'h', 'o', 'm', 'w']","[0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1]","[0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0]","[1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0]","[96, 93, 56, 32, 75, 78, 8, 58, 3, 63, 94, 44, 75]",7,"[13, 1, 15, 24, 36, 18, 40]",2.3510407537084634
"['s', 'v']","[0, 1]","[1, 0]","[1, 0]","[38, 34]",9,"[55, 56, 89, 100, 15, 60, 36, 63, 25]",7.588004645161039
"['w', 'v', 'j', 'g', 's', 'h', 'b', 'x', 'e', 'i', 'd', 'u', 'o', 'q', 'c', 't', 'p', 'n', 'm', 'l', 'k', 'r', 'a', 'y']","[1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1]","[1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1]","[87, 21, 60, 41, 81, 20, 39, 50, 78, 1, 1, 39, 54, 34, 77, 40, 73, 80, 75, 27, 6, 87, 57, 49]",9,"[40, 61, 82, 15, 29, 90, 1, 33, 26]",1.8689574285915134
"['l', 'v', 'x', 'u', 'h', 'p', 'd', 'j', 'w', 'e', 'b', 'k', 'n', 'y', 'f', 'm', 'q', 'a']","[1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0]","[1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0]","[0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0]","[74, 30, 85, 38, 97, 94, 15, 79, 62, 53, 9, 29, 33, 89, 47, 87, 39, 94]",8,"[73, 20, 55, 80, 78, 60, 21, 16]",3.889633706838748
"['f', 'q', 'o', 'w', 'j', 's', 'u', 'c', 'h', 'x', 'v', 'r', 'g', 'i', 'k', 'l', 't', 'm', 'd']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1]","[1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1]","[0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0]","[58, 46, 83, 83, 81, 5, 39, 40, 77, 50, 52, 97, 44, 56, 78, 69, 74, 24, 51]",8,"[38, 68, 62, 33, 76, 44, 52, 56]",3.341437549177846
"['p', 'e', 'l', 'h', 't']","[1, 0, 1, 0, 1]","[0, 0, 1, 0, 1]","[1, 0, 1, 1, 0]","[4, 40, 31, 39, 78]",1,[95],8.503222741426647
['a'],[0],[0],[0],[76],5,"[44, 83, 24, 64, 74]",3.307015690022268
"['p', 'v', 't', 'd', 'h', 'u', 'm', 'a', 'g', 'y', 'l', 'b', 'f', 's', 'w', 'n', 'q', 'r', 'o', 'j', 'e']","[0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0]","[0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0]","[98, 47, 70, 23, 28, 42, 53, 41, 87, 98, 41, 68, 12, 38, 46, 21, 48, 41, 47, 44, 86]",2,"[73, 7]",3.1084779883962605
"['a', 'd', 'p', 'o', 'v', 'f', 'b', 'c', 'w', 'l', 'y', 'n', 's', 'i', 'm', 'u', 'j', 'g', 't', 'r', 'h']","[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1]","[0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1]","[0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1]","[1, 58, 49, 9, 98, 18, 59, 33, 61, 19, 41, 2, 96, 66, 90, 15, 32, 62, 9, 68, 84]",10,"[15, 50, 3, 33, 74, 84, 18, 31, 90, 8]",4.425663103645418
"['y', 'j', 'w', 's', 'd', 'b', 't']","[1, 1, 1, 0, 1, 1, 1]","[1, 1, 0, 1, 1, 0, 1]","[1, 1, 0, 1, 1, 1, 1]","[40, 64, 50, 96, 90, 40, 84]",7,"[84, 91, 81, 26, 72, 42, 19]",3.8349398640864454
"['x', 'k', 'a', 'd', 'e', 'l', 'r', 'j', 'y', 'w', 'u', 'o', 'v', 'm', 's', 'f', 'c', 'n', 'g', 't', 'q']","[0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1]","[1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1]","[63, 27, 10, 62, 89, 78, 76, 16, 19, 85, 10, 32, 71, 13, 66, 29, 76, 36, 95, 11, 72]",7,"[92, 11, 60, 39, 28, 45, 68]",1.467595116773424
"['o', 'd', 'p', 'r', 'i', 'a', 'n', 'v', 'w', 's', 'c', 'b', 'f', 'g', 'l', 'x', 'h']","[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0]","[1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0]","[0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[56, 29, 42, 77, 55, 31, 84, 97, 74, 68, 60, 38, 59, 17, 5, 19, 99]",7,"[40, 2, 94, 30, 42, 5, 67]",5.6059272985414506
"['c', 'm', 'x', 'e', 'a', 'r', 'p', 't', 'v', 'w', 'f', 's', 'l', 'd']","[0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1]","[0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1]","[0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1]","[9, 18, 15, 30, 26, 74, 47, 95, 21, 68, 27, 6, 5, 81]",8,"[54, 16, 94, 30, 16, 10, 81, 54]",0.8437397532980276
"['w', 'f']","[1, 1]","[0, 0]","[1, 0]","[65, 94]",8,"[40, 61, 87, 88, 26, 35, 17, 59]",2.044548932106046
"['k', 'h', 'f', 'v', 'r', 'm', 'l', 'n', 'x', 'q', 'i']","[1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1]","[0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0]","[0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1]","[35, 41, 27, 77, 44, 95, 53, 91, 2, 86, 20]",6,"[90, 65, 28, 98, 40, 87]",5.268884708801606
"['d', 'p', 'l', 'o', 'y', 'i']","[1, 0, 0, 0, 1, 0]","[0, 0, 1, 1, 0, 0]","[0, 1, 0, 1, 0, 0]","[69, 48, 72, 43, 81, 35]",1,[4],8.107066003610953
"['c', 'i', 'e', 'l', 'w', 'g', 'u', 'b', 'h', 'a', 't', 'q']","[1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0]","[1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1]","[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0]","[62, 48, 76, 5, 6, 8, 85, 53, 6, 80, 36, 97]",6,"[5, 85, 97, 30, 7, 8]",7.61212762934835
"['a', 'k', 'u', 'm', 'y', 'w', 'f', 't', 'g', 'b', 'q', 'j', 'l', 'i', 'n', 's', 'c', 'x']","[0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1]","[1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1]","[0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1]","[69, 14, 72, 4, 26, 94, 96, 31, 47, 21, 75, 67, 70, 33, 49, 17, 82, 55]",1,[78],6.037921487479876
"['o', 't', 's', 'k', 'd', 'j', 'm', 'b', 'n', 'e', 'c', 'f', 'g', 'a', 'w', 'y', 'p', 'x', 'u', 'v', 'i', 'q', 'l']","[1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0]","[0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1]","[1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0]","[65, 49, 44, 37, 94, 40, 74, 40, 47, 91, 81, 81, 63, 39, 25, 34, 79, 12, 2, 78, 93, 21, 23]",3,"[20, 3, 14]",9.536917083082685
"['r', 'u', 'c', 'p', 'a', 'i', 's', 'm', 'w']","[1, 0, 0, 1, 1, 0, 1, 0, 1]","[0, 1, 0, 1, 1, 0, 1, 1, 0]","[1, 1, 1, 1, 0, 0, 1, 1, 0]","[14, 57, 55, 34, 98, 98, 80, 68, 34]",8,"[85, 66, 54, 83, 28, 74, 39, 60]",5.989578735915866
"['l', 'x', 's', 'p', 't', 'n', 'g', 'd', 'o', 'j', 'a', 'f', 'm', 'k', 'y', 'i', 'c', 'r', 'v', 'e', 'u', 'q']","[1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0]","[1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0]","[1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1]","[50, 50, 7, 49, 34, 83, 54, 82, 69, 18, 50, 61, 11, 9, 17, 18, 89, 43, 61, 93, 5, 77]",2,"[21, 23]",7.107049041206145
"['g', 'v', 'i', 'k', 'l', 'u', 'n', 'b', 'c', 'd', 'a', 's', 'y', 'h', 'f']","[1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1]","[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1]","[1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0]","[54, 49, 58, 40, 68, 79, 26, 37, 98, 97, 3, 66, 53, 32, 4]",9,"[75, 23, 81, 67, 88, 4, 20, 29, 96]",5.6811640025336745
"['c', 'n', 'd', 'j', 'm', 'o', 'l', 't', 'f', 'v', 's', 'h', 'p']","[1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1]","[0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0]","[57, 100, 21, 65, 93, 27, 91, 98, 78, 65, 26, 22, 50]",5,"[86, 88, 26, 58, 48]",7.559744384095559
"['q', 'p', 'f', 'd', 'j', 'm', 'x', 'e', 'l', 'r', 'n', 'w', 'g', 'u', 'c', 't', 'b', 'o', 'a', 'v', 'y']","[1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0]","[1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1]","[0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0]","[23, 33, 93, 47, 71, 98, 29, 98, 18, 52, 42, 18, 98, 75, 96, 20, 87, 8, 21, 79, 70]",4,"[84, 1, 85, 41]",5.349009791101833
"['s', 'm', 'l', 'p', 'b', 'v', 'e', 'q', 'n', 'x', 'd']","[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1]","[46, 81, 75, 81, 76, 29, 9, 63, 2, 53, 54]",6,"[30, 67, 69, 32, 34, 77]",9.768419438905788
"['y', 'a', 'i', 'n', 's', 'w', 'm', 'r', 'u']","[1, 0, 0, 1, 0, 0, 1, 1, 0]","[1, 0, 1, 0, 0, 1, 1, 0, 0]","[1, 0, 0, 1, 0, 0, 1, 1, 1]","[63, 99, 47, 37, 86, 20, 22, 74, 12]",7,"[76, 90, 95, 76, 92, 65, 55]",1.0523980573486826
"['i', 'd', 'x', 't', 'v', 'a']","[1, 1, 0, 0, 0, 0]","[0, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0]","[29, 35, 32, 56, 69, 54]",5,"[49, 16, 27, 56, 19]",4.560521330156512
"['m', 'o', 't', 's', 'a', 'g', 'u', 'f', 'p', 'b', 'v', 'w', 'n', 'j', 'y', 'i', 'e', 'd', 'x']","[1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0]","[0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1]","[74, 56, 56, 57, 64, 58, 68, 4, 64, 33, 35, 63, 91, 100, 44, 69, 35, 41, 15]",8,"[90, 49, 70, 21, 90, 99, 24, 53]",7.6129060613354085
"['f', 'b', 'p', 'v', 'g', 'a', 'm', 'l', 'o', 'r', 'n', 'i', 't', 'd', 'x', 'w']","[0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0]","[0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1]","[1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0]","[8, 91, 90, 14, 18, 4, 60, 86, 75, 3, 90, 45, 86, 87, 44, 46]",5,"[51, 79, 68, 74, 74]",9.798983512697664
"['l', 'r', 'h', 'y']","[0, 0, 1, 1]","[1, 1, 0, 1]","[1, 1, 1, 1]","[100, 34, 36, 23]",5,"[44, 59, 62, 67, 74]",0.23847943080830836
"['e', 'w', 'b', 'q', 'u', 'x', 'p', 'o', 'd', 'j', 'i', 'v', 'n', 'g', 'k', 'h', 'a', 's', 'y', 'm', 'f', 'l', 'r']","[0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0]","[0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0]","[1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0]","[33, 51, 9, 4, 21, 14, 65, 1, 26, 28, 57, 38, 31, 8, 92, 85, 42, 10, 3, 83, 38, 25, 54]",10,"[25, 51, 96, 71, 10, 92, 82, 33, 47, 83]",0.5258492024672576
['n'],[0],[1],[1],[63],2,"[1, 64]",3.31936985168717
"['j', 'l', 'b', 'q', 'r', 'f', 'u', 'w', 'p', 'k', 'v', 'c', 'm', 't', 'a', 'y', 's', 'e', 'n', 'i', 'h', 'x', 'd']","[0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0]","[1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1]","[1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0]","[59, 71, 74, 24, 83, 22, 42, 92, 73, 49, 83, 65, 32, 6, 81, 63, 78, 83, 74, 8, 15, 22, 62]",3,"[69, 17, 53]",9.311892007621418
"['h', 'i', 'q', 'o', 'n', 'w', 'e', 'r', 'k', 'v', 'l', 'j', 'm', 'u', 'b', 'x', 'c', 'd', 'g', 'p', 'y', 't']","[1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0]","[1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0]","[0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1]","[90, 20, 77, 37, 39, 87, 36, 70, 37, 34, 47, 1, 71, 12, 87, 7, 6, 88, 41, 56, 89, 59]",10,"[37, 85, 66, 1, 49, 60, 73, 51, 71, 76]",5.007327858828464
"['f', 'o', 'r', 's', 'l', 'v', 'p', 'h', 'u', 'g', 'x', 'q', 'a', 'd', 'w', 'c', 'n', 'b', 'm', 'e']","[1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1]","[1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0]","[1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1]","[1, 32, 59, 53, 48, 1, 69, 81, 81, 86, 8, 51, 17, 34, 45, 79, 60, 57, 10, 28]",3,"[43, 52, 68]",5.19263423987178
"['q', 'j', 'c', 't', 'k', 'y', 'u', 'm', 'b', 'r', 'a', 'f', 'v', 'n', 'l', 'o', 'i', 'h', 'e', 'p']","[0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1]","[0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1]","[1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0]","[9, 22, 38, 37, 22, 87, 38, 59, 77, 68, 69, 23, 92, 92, 54, 59, 64, 31, 37, 85]",9,"[56, 81, 69, 45, 29, 7, 80, 43, 92]",7.764911121697319
"['a', 'h', 'd', 'f', 's', 'k']","[1, 1, 0, 0, 0, 1]","[1, 0, 1, 0, 0, 0]","[0, 1, 1, 0, 0, 0]","[70, 24, 37, 38, 89, 1]",7,"[3, 96, 38, 87, 48, 86, 1]",5.322958863311161
"['e', 'p', 'g', 'v', 'o']","[0, 0, 1, 0, 1]","[0, 1, 1, 1, 0]","[0, 1, 1, 1, 1]","[51, 61, 51, 54, 71]",10,"[95, 83, 93, 8, 98, 11, 27, 61, 1, 80]",3.1613284372845096
"['g', 'c', 'x', 'h', 'k', 'u', 'a', 'b', 'v', 'j', 'y', 'e', 'm', 'o', 'q', 't', 'r', 'p', 'w', 'f', 'n']","[1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0]","[1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1]","[1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]","[8, 77, 17, 37, 29, 30, 88, 50, 59, 11, 45, 45, 54, 33, 60, 29, 2, 19, 92, 97, 56]",6,"[53, 29, 96, 84, 61, 1]",7.933022046283363
"['p', 'y', 'k', 'l', 'x', 'd', 'w', 'u', 'j', 'h']","[0, 1, 1, 0, 1, 1, 0, 0, 1, 0]","[1, 1, 0, 1, 1, 1, 0, 0, 1, 0]","[1, 0, 1, 0, 0, 0, 1, 0, 0, 1]","[23, 49, 51, 38, 82, 9, 98, 9, 78, 22]",4,"[30, 54, 65, 86]",3.4832456250644435
"['v', 'n', 'h', 's', 'i', 'y', 'o', 'c', 'd', 'u', 'l', 'r']","[1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0]","[1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1]","[0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0]","[73, 100, 85, 80, 78, 62, 56, 33, 74, 6, 31, 62]",3,"[66, 33, 48]",9.887958540764167
"['x', 'q', 's', 'g', 'c', 'b']","[1, 0, 1, 1, 0, 0]","[1, 1, 1, 0, 0, 0]","[1, 1, 0, 0, 1, 1]","[63, 5, 92, 29, 51, 78]",4,"[44, 73, 11, 95]",7.095508053707078
"['c', 'y', 'i', 'r', 'l', 'p', 'o', 'a', 'n', 'w', 'd', 'f', 's', 'q', 'b', 'm', 'j', 'u', 't', 'v', 'k', 'h', 'x', 'g', 'e']","[1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1]","[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1]","[0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[16, 21, 48, 81, 95, 9, 20, 31, 75, 61, 82, 5, 89, 90, 18, 60, 18, 90, 50, 1, 10, 100, 10, 27, 22]",9,"[26, 2, 20, 98, 22, 50, 63, 56, 29]",3.669819119758286
"['k', 't', 'n', 'q', 'b', 'o', 'x', 'u', 'h', 'r', 'p', 'l', 'w', 'i', 'c', 'g', 'j', 'm']","[0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1]","[1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0]","[0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1]","[64, 98, 54, 35, 14, 55, 94, 88, 90, 1, 41, 21, 6, 28, 29, 28, 43, 26]",1,[30],5.796163774355413
"['x', 'p', 'l', 'v', 'y', 'e', 'b', 'j', 't', 'g', 'r']","[1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1]","[0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1]","[1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0]","[83, 35, 22, 80, 37, 73, 88, 5, 41, 62, 1]",2,"[46, 74]",1.7524863848962315
